goos: linux
goarch: amd64
pkg: diffsquares
cpu: Intel(R) Core(TM) i7-7Y75 CPU @ 1.30GHz
Benchmark_squareOfSumBruteForce/input_size_10-4         	29426822	        36.32 ns/op	       0 B/op	       0 allocs/op
Benchmark_squareOfSumBruteForce/input_size_100-4        	 8640528	       131.1 ns/op	       0 B/op	       0 allocs/op
Benchmark_squareOfSumBruteForce/input_size_1000-4       	 1308825	       945.4 ns/op	       0 B/op	       0 allocs/op
Benchmark_squareOfSumBruteForce/input_size_10000-4      	  115472	      9273 ns/op	       0 B/op	       0 allocs/op
Benchmark_sumOfSquaresBruteForce/input_size_10-4        	 3680767	       291.4 ns/op	       0 B/op	       0 allocs/op
Benchmark_sumOfSquaresBruteForce/input_size_100-4       	  341122	      3511 ns/op	       0 B/op	       0 allocs/op
Benchmark_sumOfSquaresBruteForce/input_size_1000-4      	   32896	     34281 ns/op	       0 B/op	       0 allocs/op
Benchmark_sumOfSquaresBruteForce/input_size_10000-4     	    3711	    347095 ns/op	       0 B/op	       0 allocs/op
Benchmark_squareOfSumGauss/input_size_10-4              	26699696	        50.20 ns/op	       0 B/op	       0 allocs/op
Benchmark_squareOfSumGauss/input_size_100-4             	30163941	        34.02 ns/op	       0 B/op	       0 allocs/op
Benchmark_squareOfSumGauss/input_size_1000-4            	38001340	        34.72 ns/op	       0 B/op	       0 allocs/op
Benchmark_squareOfSumGauss/input_size_10000-4           	31666057	        35.09 ns/op	       0 B/op	       0 allocs/op
Benchmark_sumOfSquaresGauss/input_size_10-4             	439645538	         2.339 ns/op	       0 B/op	       0 allocs/op
Benchmark_sumOfSquaresGauss/input_size_100-4            	497528520	         2.323 ns/op	       0 B/op	       0 allocs/op
Benchmark_sumOfSquaresGauss/input_size_1000-4           	483448791	         2.396 ns/op	       0 B/op	       0 allocs/op
Benchmark_sumOfSquaresGauss/input_size_10000-4          	438887734	         2.466 ns/op	       0 B/op	       0 allocs/op
BenchmarkDifference2/input_size_10-4                    	26115793	        43.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkDifference2/input_size_100-4                   	26788078	        43.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkDifference2/input_size_1000-4                  	28098295	        43.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkDifference2/input_size_10000-4                 	21875874	        45.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkSquareOfSum-4                                  	31738362	        37.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkSumOfSquares-4                                 	241435201	         5.311 ns/op	       0 B/op	       0 allocs/op
BenchmarkDifference-4                                   	28246478	        43.55 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	diffsquares	36.072s
